model,case,episodes,failed,traversed,settled,passed,mean_duration,moving_speed,moving_command,fast_command_speed,tracking_xy
model_25500,ascent/10cm/0.45,23,6,17,10,10,17.66695652173913,0.7898150344698204,0.449525518372393,0.0,0.6437120638463808
model_25500,ascent/10cm/0.65,25,10,17,10,10,15.670399999999999,0.9866222244332028,0.6450248023998997,0.0,0.5462825486063957
model_25500,ascent/14cm/0.45,32,26,13,1,1,11.30625,0.8540384087074924,0.4496901197309108,0.0,0.5509069794788957
model_25500,ascent/14cm/0.65,37,30,11,2,1,9.96054054054054,0.9444593759712453,0.6474860661942913,0.0,0.5215186661965138
model_25500,ascent/8cm/0.45,24,3,22,19,15,18.5925,0.5895816712568642,0.4485960957016545,0.0,0.6857257696489493
model_25500,ascent/8cm/0.65,24,4,21,14,13,17.769166666666667,0.9371369377298938,0.6469617744840949,0.0,0.6246725680927435
model_25500,descent/10cm/0.45,14,2,14,13,11,19.291428571428572,0.7610603085270634,0.44822390874226886,0.0,0.5470638828618186
model_25500,descent/10cm/0.65,12,1,12,9,8,19.900000000000002,0.9038018494360408,0.6393263891327777,0.0,0.49209265410900116
model_25500,descent/14cm/0.45,15,7,14,4,4,15.245333333333333,0.9266251582556378,0.4493814994994731,0.0,0.5721203406651815
model_25500,descent/14cm/0.65,18,12,12,3,3,11.433333333333334,1.1119817926846132,0.6450201471346438,0.0,0.4586623894671599
model_25500,descent/8cm/0.45,14,0,13,11,10,20.0,0.7274922862817461,0.4492449872422543,0.0,0.5813461244106293
model_25500,descent/8cm/0.65,12,0,12,10,9,20.0,0.866681607718233,0.6483121938143553,0.0,0.5359412704904875
model_25500,flat/0.8,32,0,0,0,0,20.0,0.8173307081394269,0.7989306984526912,0.0,0.7734579015523195
model_25500,flat/1.2,32,0,0,0,0,20.0,1.0318925238668435,1.187652346795961,1.0378583636763292,0.6625523958355188
model_25500,flat/1.8,32,0,0,0,0,20.0,1.4349910898229954,1.7395111669985595,1.4447641312263593,0.43211026955395937
model_25500,other,76,5,0,0,0,19.278157894736843,0.5908048861157285,0.4495051582300946,0.0,0.7486877104169444
model_26500,ascent/10cm/0.45,22,3,20,12,9,18.98818181818182,0.6227577627531014,0.4496720193740328,0.0,0.6363524726846002
model_26500,ascent/10cm/0.65,22,6,18,14,13,17.16090909090909,0.8163897592252255,0.6445942159344487,0.0,0.6009979857639833
model_26500,ascent/14cm/0.45,34,27,10,4,4,11.042941176470588,0.5876863993427135,0.44969570057890473,0.0,0.5688831806182861
model_26500,ascent/14cm/0.65,37,30,15,6,5,10.365945945945947,0.8614149176807715,0.6465184345903566,0.0,0.5339952284419859
model_26500,ascent/8cm/0.45,24,1,22,20,19,19.8125,0.5161791446253645,0.44939797781498914,0.0,0.7226284705102444
model_26500,ascent/8cm/0.65,22,3,19,14,14,18.61090909090909,0.8099507537359558,0.6474241198834598,0.0,0.6842808289961382
model_26500,descent/10cm/0.45,14,1,14,12,12,19.16142857142857,0.7569061288291151,0.4489864233563932,0.0,0.5556958104882922
model_26500,descent/10cm/0.65,12,0,12,8,8,20.0,0.8937790408824224,0.6330707927919784,0.0,0.50111123919487
model_26500,descent/14cm/0.45,14,4,11,10,9,16.70714285714286,0.8280765883111386,0.44834897926840245,0.0,0.5070506078856332
model_26500,descent/14cm/0.65,13,7,11,4,4,15.786153846153846,1.0596276116411654,0.6414840390918846,0.0,0.4481766785566623
model_26500,descent/8cm/0.45,14,0,14,12,12,20.0,0.744114721300541,0.4499109200815626,0.0,0.5588232236249107
model_26500,descent/8cm/0.65,12,0,12,12,10,20.0,0.8923288627292799,0.6484097057840098,0.0,0.550471102197965
model_26500,flat/0.8,32,0,0,0,0,20.0,0.8106563844506987,0.798800215111296,0.0,0.7716351598501205
model_26500,flat/1.2,32,0,0,0,0,20.0,1.027351671996914,1.1866785879449704,1.0344720201915056,0.6575217619538307
model_26500,flat/1.8,32,1,0,0,0,19.9225,1.3767340088165694,1.7423528194792817,1.3864705736537433,0.44576726853847504
model_26500,other,77,4,0,0,0,19.549090909090907,0.57005253633208,0.4495217249068817,0.0,0.7741534655744379
model_30000,ascent/10cm/0.45,22,3,4,2,2,19.45909090909091,0.21973039301955702,0.449967038392556,0.0,0.510772012851455
model_30000,ascent/10cm/0.65,23,5,19,10,10,17.838260869565218,0.7698100191166855,0.64683483076523,0.0,0.5899027806261311
model_30000,ascent/14cm/0.45,22,0,1,1,1,20.0,0.16191444633035015,0.44996095542664605,0.0,0.4966893792152405
model_30000,ascent/14cm/0.65,25,12,12,7,6,15.6784,0.4318423092335905,0.6469090784991051,0.0,0.4365660226345062
model_30000,ascent/8cm/0.45,24,1,12,9,9,19.982499999999998,0.257133664822751,0.449888599435935,0.0,0.6273320751885573
model_30000,ascent/8cm/0.65,22,0,21,15,15,20.0,0.672982612616369,0.6458048821076476,0.0,0.6853031014854257
model_30000,descent/10cm/0.45,14,0,14,9,9,20.0,0.6837893752137499,0.4483997534352837,0.0,0.5530713200569153
model_30000,descent/10cm/0.65,12,0,12,9,8,20.0,0.889325989584344,0.638776542902807,0.0,0.525280182560285
model_30000,descent/14cm/0.45,15,4,12,8,8,16.586666666666666,0.7338580020691639,0.4489113139400341,0.0,0.5728974958260854
model_30000,descent/14cm/0.65,15,9,11,6,6,13.413333333333334,0.8968189634125808,0.6410753885904948,0.0,0.5119466682275137
model_30000,descent/8cm/0.45,14,0,14,12,12,20.0,0.6517762639591751,0.4495286241999402,0.0,0.610573662178857
model_30000,descent/8cm/0.65,12,0,12,9,8,20.0,0.8537774255433058,0.6463390590156814,0.0,0.5670496175686518
model_30000,flat/0.8,32,0,0,0,0,20.0,0.7965724420170062,0.7989719539756417,0.0,0.7553860936313868
model_30000,flat/1.2,32,0,0,0,0,20.0,1.0069022020142844,1.1875034279950383,1.0125366634918425,0.6367918383330107
model_30000,flat/1.8,32,0,0,0,0,20.0,1.4069707668932359,1.7431587756481322,1.4142608495744706,0.4247829485684633
model_30000,other,76,5,0,0,0,19.49684210526316,0.5055018456161255,0.4493822907022897,0.0,0.762261548716771
model_31800,ascent/10cm/0.45,22,1,8,1,1,19.685454545454544,0.24760004349427947,0.4499285141173335,0.0,0.5313607237555764
model_31800,ascent/10cm/0.65,22,7,17,3,3,17.266363636363636,0.9093218872649441,0.6468157988570311,0.0,0.5674578439105641
model_31800,ascent/14cm/0.45,23,4,0,0,0,18.797391304347826,0.24706146334401724,0.44997331665150886,0.0,0.4747273351835168
model_31800,ascent/14cm/0.65,29,22,14,3,1,12.24551724137931,0.7830833267599207,0.6483002728901628,0.0,0.5110682331282517
model_31800,ascent/8cm/0.45,24,1,7,4,3,19.964166666666667,0.20120424789150212,0.4498754862291554,0.0,0.5717543338735899
model_31800,ascent/8cm/0.65,22,5,18,8,6,18.58,0.8610713250365701,0.6466864840178075,0.0,0.6354768587784334
model_31800,descent/10cm/0.45,14,0,14,13,9,20.0,0.6990007997908683,0.4484629447505159,0.0,0.5730850653988975
model_31800,descent/10cm/0.65,12,0,12,10,7,20.0,0.7414473575589969,0.6403217636846058,0.0,0.522031751771768
model_31800,descent/14cm/0.45,18,10,9,2,1,13.06111111111111,0.7744320453533561,0.4493917325593272,0.0,0.5097988405161433
model_31800,descent/14cm/0.65,22,20,6,1,1,9.344545454545456,1.0137220799802353,0.6466876253258201,0.0,0.42922212928533554
model_31800,descent/8cm/0.45,14,0,14,12,11,20.0,0.6543685043607372,0.4480972887105888,0.0,0.5822546929121017
model_31800,descent/8cm/0.65,12,0,12,9,8,20.0,0.8149267900315327,0.6414214843532793,0.0,0.5415639107426008
model_31800,flat/0.8,32,0,0,0,0,20.0,0.7982375207323514,0.7989671479443325,0.0,0.7470476608723402
model_31800,flat/1.2,32,0,0,0,0,20.0,1.0298795668914027,1.1880100243931364,1.0349059414802275,0.61689617857337
model_31800,flat/1.8,32,2,0,0,0,19.64875,1.5099804753480681,1.7365009701702432,1.5188452469345284,0.36257974489126354
model_31800,other,78,10,0,0,0,18.662820512820513,0.5172191952751344,0.44924688071670466,0.0,0.7095449612690852
